Genome_ID	seqID	family	cluster	isBegin	isEnd	isLen	ncopy4is	type
ISO01	contig_1	IS1	c1	100	1400	1300	1	c
ISO01	contig_1	IS1	c1	100	1400	1300	1	c
ISO01	contig_1	IS1	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS3	c1	100	1400	1300	1	c
ISO01	contig_1	IS30	c1	100	1400	1300	1	c
ISO01	contig_1	IS30	c1	100	1400	1300	1	c
ISO01	contig_1	IS66	c1	100	1400	1300	1	c
ISO01	contig_1	IS66	c1	100	1400	1300	1	c
ISO01	contig_1	IS66	c1	100	1400	1300	1	c
ISO01	contig_1	IS66	c1	100	1400	1300	1	c
ISO01	contig_1	IS66	c1	100	1400	1300	1	c
ISO01	contig_1	IS66	c1	100	1400	1300	1	c
ISO02	contig_1	IS1	c1	100	1400	1300	1	c
ISO02	contig_1	IS1	c1	100	1400	1300	1	c
ISO02	contig_1	IS1	c1	100	1400	1300	1	c
ISO02	contig_1	IS1	c1	100	1400	1300	1	c
ISO02	contig_1	IS1	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
ISO02	contig_1	IS3	c1	100	1400	1300	1	c
