/work/ISO01.scaffolds.fasta,ecoli_achtman_4,131,adk(53),fumC(40),gyrB(47),icd(13),mdh(36),purA(28),recA(29)
/work/ISO02.scaffolds.fasta,ecoli_achtman_4,131,adk(53),fumC(40),gyrB(47),icd(13),mdh(36),purA(28),recA(29)
/work/ISO03.scaffolds.fasta,ecoli_achtman_4,131,adk(53),fumC(40),gyrB(47),icd(13),mdh(36),purA(28),recA(29)
/work/ISO04.scaffolds.fasta,ecoli_achtman_4,131,adk(53),fumC(40),gyrB(47),icd(13),mdh(36),purA(28),recA(29)
/work/ISO05.scaffolds.fasta,ecoli_achtman_4,131,adk(53),fumC(40),gyrB(47),icd(13),mdh(36),purA(28),recA(29)
/work/ISO06.scaffolds.fasta,ecoli_achtman_4,131,adk(53),fumC(40),gyrB(47),icd(13),mdh(36),purA(28),recA(29)
/work/ISO07.scaffolds.fasta,ecoli_achtman_4,131,adk(53),fumC(40),gyrB(47),icd(13),mdh(36),purA(28),recA(29)
/work/ISO08.scaffolds.fasta,ecoli_achtman_4,131,adk(53),fumC(40),gyrB(47),icd(13),mdh(36),purA(28),recA(29)
/work/ISO09.scaffolds.fasta,ecoli_achtman_4,73,adk(36),fumC(24),gyrB(9),icd(13),mdh(17),purA(11),recA(25)
/work/ISO10.scaffolds.fasta,ecoli_achtman_4,73,adk(36),fumC(24),gyrB(9),icd(13),mdh(17),purA(11),recA(25)
/work/ISO11.scaffolds.fasta,ecoli_achtman_4,73,adk(36),fumC(24),gyrB(9),icd(13),mdh(17),purA(11),recA(25)
/work/ISO12.scaffolds.fasta,ecoli_achtman_4,73,adk(36),fumC(24),gyrB(9),icd(13),mdh(17),purA(11),recA(25)
/work/ISO13.scaffolds.fasta,ecoli_achtman_4,73,adk(36),fumC(24),gyrB(9),icd(13),mdh(17),purA(11),recA(25)
/work/ISO14.scaffolds.fasta,ecoli_achtman_4,10,adk(10),fumC(11),gyrB(4),icd(8),mdh(8),purA(8),recA(2)
/work/ISO15.scaffolds.fasta,ecoli_achtman_4,10,adk(10),fumC(11),gyrB(4),icd(8),mdh(8),purA(8),recA(2)
/work/ISO16.scaffolds.fasta,ecoli_achtman_4,10,adk(10),fumC(11),gyrB(4),icd(8),mdh(8),purA(8),recA(2)
/work/ISO17.scaffolds.fasta,ecoli_achtman_4,10,adk(10),fumC(11),gyrB(4),icd(8),mdh(8),purA(8),recA(2)
/work/ISO18.scaffolds.fasta,ecoli_achtman_4,10,adk(10),fumC(11),gyrB(4),icd(8),mdh(8),purA(8),recA(2)
/work/ISO19.scaffolds.fasta,ecoli_achtman_4,69,adk(21),fumC(35),gyrB(27),icd(6),mdh(5),purA(5),recA(4)
/work/ISO20.scaffolds.fasta,ecoli_achtman_4,69,adk(21),fumC(35),gyrB(27),icd(6),mdh(5),purA(5),recA(4)
